,Year,Country,Type,Value
0,1990,Australia,elderly_pop_ratio,0.1109503
1,1995,Australia,elderly_pop_ratio,0.1190225
2,2000,Australia,elderly_pop_ratio,0.1242314
3,2001,Australia,elderly_pop_ratio,0.12549939999999998
4,2002,Australia,elderly_pop_ratio,0.126494
5,2003,Australia,elderly_pop_ratio,0.1273262
6,2004,Australia,elderly_pop_ratio,0.1283801
7,2005,Australia,elderly_pop_ratio,0.1294543
8,2006,Australia,elderly_pop_ratio,0.1302626
9,2007,Australia,elderly_pop_ratio,0.1314096
10,2008,Australia,elderly_pop_ratio,0.13200620000000002
11,2009,Australia,elderly_pop_ratio,0.1332749
12,2010,Australia,elderly_pop_ratio,0.13557550000000002
13,2011,Australia,elderly_pop_ratio,0.1382274
14,2012,Australia,elderly_pop_ratio,0.1415875
15,2013,Australia,elderly_pop_ratio,0.14433970000000002
16,1990,Austria,elderly_pop_ratio,0.14934
17,1995,Austria,elderly_pop_ratio,0.1512837
18,2000,Austria,elderly_pop_ratio,0.154257
19,2001,Austria,elderly_pop_ratio,0.1546345
20,2002,Austria,elderly_pop_ratio,0.1546417
21,2003,Austria,elderly_pop_ratio,0.1544418
22,2004,Austria,elderly_pop_ratio,0.1571051
23,2005,Austria,elderly_pop_ratio,0.16222720000000002
24,2006,Austria,elderly_pop_ratio,0.1666498
25,2007,Austria,elderly_pop_ratio,0.170263
26,2008,Austria,elderly_pop_ratio,0.17262260000000001
27,2009,Austria,elderly_pop_ratio,0.1752617
28,2010,Austria,elderly_pop_ratio,0.1767241
29,2011,Austria,elderly_pop_ratio,0.17689560000000001
30,2012,Austria,elderly_pop_ratio,0.1794689
31,2013,Austria,elderly_pop_ratio,0.182115
32,1990,Belgium,elderly_pop_ratio,0.14922370000000001
33,1995,Belgium,elderly_pop_ratio,0.1589328
34,2000,Belgium,elderly_pop_ratio,0.1680198
35,2001,Belgium,elderly_pop_ratio,0.16896420000000006
36,2002,Belgium,elderly_pop_ratio,0.16978870000000001
37,2003,Belgium,elderly_pop_ratio,0.17070470000000001
38,2004,Belgium,elderly_pop_ratio,0.171748
39,2005,Belgium,elderly_pop_ratio,0.1721847
40,2006,Belgium,elderly_pop_ratio,0.1715534
41,2007,Belgium,elderly_pop_ratio,0.1708021
42,2008,Belgium,elderly_pop_ratio,0.1707055
43,2009,Belgium,elderly_pop_ratio,0.17120999999999997
44,2010,Belgium,elderly_pop_ratio,0.171394
45,2011,Belgium,elderly_pop_ratio,0.1723479
46,2012,Belgium,elderly_pop_ratio,0.1745372
47,2013,Belgium,elderly_pop_ratio,0.1766933
48,1990,Canada,elderly_pop_ratio,0.112827
49,1995,Canada,elderly_pop_ratio,0.11974320000000001
50,2000,Canada,elderly_pop_ratio,0.1255728
51,2001,Canada,elderly_pop_ratio,0.12644819999999998
52,2002,Canada,elderly_pop_ratio,0.1272997
53,2003,Canada,elderly_pop_ratio,0.1284566
54,2004,Canada,elderly_pop_ratio,0.12966060000000001
55,2005,Canada,elderly_pop_ratio,0.1308672
56,2006,Canada,elderly_pop_ratio,0.1327605
57,2007,Canada,elderly_pop_ratio,0.1345915
58,2008,Canada,elderly_pop_ratio,0.1367557
59,2009,Canada,elderly_pop_ratio,0.13907470000000002
60,2010,Canada,elderly_pop_ratio,0.1415542
61,2011,Canada,elderly_pop_ratio,0.1445124
62,2012,Canada,elderly_pop_ratio,0.1487027
63,2013,Canada,elderly_pop_ratio,0.15306940000000002
64,1990,Czech Republic,elderly_pop_ratio,0.1456867
65,1995,Czech Republic,elderly_pop_ratio,0.1473122
66,2000,Czech Republic,elderly_pop_ratio,0.1532366
67,2001,Czech Republic,elderly_pop_ratio,0.155422
68,2002,Czech Republic,elderly_pop_ratio,0.1559395
69,2003,Czech Republic,elderly_pop_ratio,0.1566439
70,2004,Czech Republic,elderly_pop_ratio,0.15772670000000003
71,2005,Czech Republic,elderly_pop_ratio,0.1591213
72,2006,Czech Republic,elderly_pop_ratio,0.1609533
73,2007,Czech Republic,elderly_pop_ratio,0.1630105
74,2008,Czech Republic,elderly_pop_ratio,0.1648609
75,2009,Czech Republic,elderly_pop_ratio,0.16691579999999998
76,2010,Czech Republic,elderly_pop_ratio,0.1685229
77,2011,Czech Republic,elderly_pop_ratio,0.17029260000000002
78,2012,Czech Republic,elderly_pop_ratio,0.1728034
79,2013,Czech Republic,elderly_pop_ratio,0.1760442
80,1990,Denmark,elderly_pop_ratio,0.1531287
81,1995,Denmark,elderly_pop_ratio,0.1614479
82,2000,Denmark,elderly_pop_ratio,0.17238320000000001
83,2001,Denmark,elderly_pop_ratio,0.1764162
84,2002,Denmark,elderly_pop_ratio,0.1806539
85,2003,Denmark,elderly_pop_ratio,0.1858379
86,2004,Denmark,elderly_pop_ratio,0.19271190000000002
87,2005,Denmark,elderly_pop_ratio,0.1922634
88,2006,Denmark,elderly_pop_ratio,0.19736789999999999
89,2007,Denmark,elderly_pop_ratio,0.2023536
90,2008,Denmark,elderly_pop_ratio,0.2048335
91,2009,Denmark,elderly_pop_ratio,0.2079508
92,2010,Denmark,elderly_pop_ratio,0.2098146
93,2011,Denmark,elderly_pop_ratio,0.2099465
94,2012,Denmark,elderly_pop_ratio,0.2110107
95,2013,Denmark,elderly_pop_ratio,0.2127253
96,1990,Finland,elderly_pop_ratio,0.135758
97,1995,Finland,elderly_pop_ratio,0.1514558
98,2000,Finland,elderly_pop_ratio,0.16643899999999998
99,2001,Finland,elderly_pop_ratio,0.1692231
100,2002,Finland,elderly_pop_ratio,0.1696281
101,2003,Finland,elderly_pop_ratio,0.16871760000000002
102,2004,Finland,elderly_pop_ratio,0.16692479999999998
103,2005,Finland,elderly_pop_ratio,0.16559539999999998
104,2006,Finland,elderly_pop_ratio,0.1659656
105,2007,Finland,elderly_pop_ratio,0.1647235
106,2008,Finland,elderly_pop_ratio,0.1647863
107,2009,Finland,elderly_pop_ratio,0.16664920000000003
108,2010,Finland,elderly_pop_ratio,0.1695096
109,2011,Finland,elderly_pop_ratio,0.17229020000000003
110,2012,Finland,elderly_pop_ratio,0.1749094
111,2013,Finland,elderly_pop_ratio,0.1791146
112,1990,France,elderly_pop_ratio,0.1337746
113,1995,France,elderly_pop_ratio,0.14212999999999998
114,2000,France,elderly_pop_ratio,0.1491499
115,2001,France,elderly_pop_ratio,0.1507325
116,2002,France,elderly_pop_ratio,0.15247070000000001
117,2003,France,elderly_pop_ratio,0.1546135
118,2004,France,elderly_pop_ratio,0.1572303
119,2005,France,elderly_pop_ratio,0.1593595
120,2006,France,elderly_pop_ratio,0.1625214
121,2007,France,elderly_pop_ratio,0.1648705
122,2008,France,elderly_pop_ratio,0.16638429999999998
123,2009,France,elderly_pop_ratio,0.1687582
124,2010,France,elderly_pop_ratio,0.1726645
125,2011,France,elderly_pop_ratio,0.1781737
126,2012,France,elderly_pop_ratio,0.18452159999999998
127,2013,France,elderly_pop_ratio,0.1906601
128,1990,Germany,elderly_pop_ratio,0.1250658
129,1995,Germany,elderly_pop_ratio,0.1321973
130,2000,Germany,elderly_pop_ratio,0.1384135
131,2001,Germany,elderly_pop_ratio,0.1382226
132,2002,Germany,elderly_pop_ratio,0.13877689999999998
133,2003,Germany,elderly_pop_ratio,0.1391703
134,2004,Germany,elderly_pop_ratio,0.13989390000000002
135,2005,Germany,elderly_pop_ratio,0.1412161
136,2006,Germany,elderly_pop_ratio,0.1430708
137,2007,Germany,elderly_pop_ratio,0.1448915
138,2008,Germany,elderly_pop_ratio,0.1472276
139,2009,Germany,elderly_pop_ratio,0.1504446
140,2010,Germany,elderly_pop_ratio,0.1537319
141,2011,Germany,elderly_pop_ratio,0.15902329999999998
142,2012,Germany,elderly_pop_ratio,0.1650319
143,2013,Germany,elderly_pop_ratio,0.1708978
144,1990,Greece,elderly_pop_ratio,0.1573108
145,1995,Greece,elderly_pop_ratio,0.1584662
146,2000,Greece,elderly_pop_ratio,0.15806810000000002
147,2001,Greece,elderly_pop_ratio,0.1585776
148,2002,Greece,elderly_pop_ratio,0.153777
149,2003,Greece,elderly_pop_ratio,0.15425129999999998
150,2004,Greece,elderly_pop_ratio,0.15458819999999998
151,2005,Greece,elderly_pop_ratio,0.1545791
152,2006,Greece,elderly_pop_ratio,0.1542509
153,2007,Greece,elderly_pop_ratio,0.154497
154,2008,Greece,elderly_pop_ratio,0.161678
155,2009,Greece,elderly_pop_ratio,0.1575582
156,2010,Greece,elderly_pop_ratio,0.1594633
157,2011,Greece,elderly_pop_ratio,0.16135370000000002
158,2012,Greece,elderly_pop_ratio,0.166004
159,2013,Greece,elderly_pop_ratio,0.1696073
160,1990,Hungary,elderly_pop_ratio,0.1373913
161,1995,Hungary,elderly_pop_ratio,0.1512176
162,2000,Hungary,elderly_pop_ratio,0.16631859999999998
163,2001,Hungary,elderly_pop_ratio,0.1724201
164,2002,Hungary,elderly_pop_ratio,0.17563510000000002
165,2003,Hungary,elderly_pop_ratio,0.17874000000000007
166,2004,Hungary,elderly_pop_ratio,0.18142350000000002
167,2005,Hungary,elderly_pop_ratio,0.1836293
168,2006,Hungary,elderly_pop_ratio,0.1852484
169,2007,Hungary,elderly_pop_ratio,0.1860611
170,2008,Hungary,elderly_pop_ratio,0.18675129999999998
171,2009,Hungary,elderly_pop_ratio,0.1880197
172,2010,Hungary,elderly_pop_ratio,0.19097999999999998
173,2011,Hungary,elderly_pop_ratio,0.1949838
174,2012,Hungary,elderly_pop_ratio,0.1990983
175,2013,Hungary,elderly_pop_ratio,
176,1990,Ireland,elderly_pop_ratio,0.1335068
177,1995,Ireland,elderly_pop_ratio,0.1421241
178,2000,Ireland,elderly_pop_ratio,0.1506219
179,2001,Ireland,elderly_pop_ratio,0.1519435
180,2002,Ireland,elderly_pop_ratio,0.15316470000000001
181,2003,Ireland,elderly_pop_ratio,0.1542942
182,2004,Ireland,elderly_pop_ratio,0.15553579999999997
183,2005,Ireland,elderly_pop_ratio,0.1570338
184,2006,Ireland,elderly_pop_ratio,0.1586734
185,2007,Ireland,elderly_pop_ratio,0.1606006
186,2008,Ireland,elderly_pop_ratio,0.1625822
187,2009,Ireland,elderly_pop_ratio,0.1648209
188,2010,Ireland,elderly_pop_ratio,0.16670000000000001
189,2011,Ireland,elderly_pop_ratio,0.1680706
190,2012,Ireland,elderly_pop_ratio,0.1702621
191,2013,Ireland,elderly_pop_ratio,0.17355710000000002
192,1990,Israel,elderly_pop_ratio,
193,1995,Israel,elderly_pop_ratio,
194,2000,Israel,elderly_pop_ratio,
195,2001,Israel,elderly_pop_ratio,
196,2002,Israel,elderly_pop_ratio,
197,2003,Israel,elderly_pop_ratio,
198,2004,Israel,elderly_pop_ratio,
199,2005,Israel,elderly_pop_ratio,
200,2006,Israel,elderly_pop_ratio,
201,2007,Israel,elderly_pop_ratio,
202,2008,Israel,elderly_pop_ratio,
203,2009,Israel,elderly_pop_ratio,
204,2010,Israel,elderly_pop_ratio,
205,2011,Israel,elderly_pop_ratio,
206,2012,Israel,elderly_pop_ratio,
207,2013,Israel,elderly_pop_ratio,
208,1990,Isreal,elderly_pop_ratio,0.1140966
209,1995,Isreal,elderly_pop_ratio,0.1142088
210,2000,Isreal,elderly_pop_ratio,0.11207280000000001
211,2001,Isreal,elderly_pop_ratio,0.11171760000000001
212,2002,Isreal,elderly_pop_ratio,0.111304
213,2003,Isreal,elderly_pop_ratio,0.11103289999999999
214,2004,Isreal,elderly_pop_ratio,0.1111688
215,2005,Isreal,elderly_pop_ratio,0.11101169999999999
216,2006,Isreal,elderly_pop_ratio,0.10923949999999999
217,2007,Isreal,elderly_pop_ratio,0.1076375
218,2008,Isreal,elderly_pop_ratio,0.107846
219,2009,Isreal,elderly_pop_ratio,0.1100498
220,2010,Isreal,elderly_pop_ratio,0.1130895
221,2011,Isreal,elderly_pop_ratio,0.1161993
222,2012,Isreal,elderly_pop_ratio,0.11981510000000001
223,2013,Isreal,elderly_pop_ratio,0.1236855
224,1990,Italy,elderly_pop_ratio,0.1063579
225,1995,Italy,elderly_pop_ratio,0.1125654
226,2000,Italy,elderly_pop_ratio,0.1155761
227,2001,Italy,elderly_pop_ratio,0.1159394
228,2002,Italy,elderly_pop_ratio,0.11641439999999999
229,2003,Italy,elderly_pop_ratio,0.1173117
230,2004,Italy,elderly_pop_ratio,0.1171925
231,2005,Italy,elderly_pop_ratio,0.1173276
232,2006,Italy,elderly_pop_ratio,0.1158563
233,2007,Italy,elderly_pop_ratio,0.1153772
234,2008,Italy,elderly_pop_ratio,0.1150225
235,2009,Italy,elderly_pop_ratio,0.1176585
236,2010,Italy,elderly_pop_ratio,0.1214443
237,2011,Italy,elderly_pop_ratio,0.1245964
238,2012,Italy,elderly_pop_ratio,0.12783899999999998
239,2013,Italy,elderly_pop_ratio,0.1308329
240,1990,Japan,elderly_pop_ratio,0.1489299
241,1995,Japan,elderly_pop_ratio,0.1671611
242,2000,Japan,elderly_pop_ratio,0.18192049999999998
243,2001,Japan,elderly_pop_ratio,0.1844192
244,2002,Japan,elderly_pop_ratio,0.187528
245,2003,Japan,elderly_pop_ratio,0.1916369
246,2004,Japan,elderly_pop_ratio,0.1898292
247,2005,Japan,elderly_pop_ratio,0.19292359999999997
248,2006,Japan,elderly_pop_ratio,0.1960064
249,2007,Japan,elderly_pop_ratio,0.1981438
250,2008,Japan,elderly_pop_ratio,0.1992204
251,2009,Japan,elderly_pop_ratio,0.2002777
252,2010,Japan,elderly_pop_ratio,0.2014069
253,2011,Japan,elderly_pop_ratio,0.2029242
254,2012,Japan,elderly_pop_ratio,0.2061767
255,2013,Japan,elderly_pop_ratio,0.209155
256,1990,Korea,elderly_pop_ratio,0.12076599999999998
257,1995,Korea,elderly_pop_ratio,0.14555229999999997
258,2000,Korea,elderly_pop_ratio,0.1736524
259,2001,Korea,elderly_pop_ratio,0.17965920000000002
260,2002,Korea,elderly_pop_ratio,0.18541220000000005
261,2003,Korea,elderly_pop_ratio,0.19049670000000007
262,2004,Korea,elderly_pop_ratio,0.1948201
263,2005,Korea,elderly_pop_ratio,0.2016232
264,2006,Korea,elderly_pop_ratio,0.2082179
265,2007,Korea,elderly_pop_ratio,0.2149471
266,2008,Korea,elderly_pop_ratio,0.2209692
267,2009,Korea,elderly_pop_ratio,0.22747240000000002
268,2010,Korea,elderly_pop_ratio,0.2302412
269,2011,Korea,elderly_pop_ratio,0.2328031
270,2012,Korea,elderly_pop_ratio,0.2414853
271,2013,Korea,elderly_pop_ratio,0.2505774
272,1990,Luxembourg,elderly_pop_ratio,
273,1995,Luxembourg,elderly_pop_ratio,
274,2000,Luxembourg,elderly_pop_ratio,
275,2001,Luxembourg,elderly_pop_ratio,
276,2002,Luxembourg,elderly_pop_ratio,
277,2003,Luxembourg,elderly_pop_ratio,
278,2004,Luxembourg,elderly_pop_ratio,
279,2005,Luxembourg,elderly_pop_ratio,
280,2006,Luxembourg,elderly_pop_ratio,
281,2007,Luxembourg,elderly_pop_ratio,
282,2008,Luxembourg,elderly_pop_ratio,
283,2009,Luxembourg,elderly_pop_ratio,
284,2010,Luxembourg,elderly_pop_ratio,
285,2011,Luxembourg,elderly_pop_ratio,
286,2012,Luxembourg,elderly_pop_ratio,
287,2013,Luxembourg,elderly_pop_ratio,
288,1990,Luxenbourg,elderly_pop_ratio,0.05120412
289,1995,Luxenbourg,elderly_pop_ratio,0.058914970000000004
290,2000,Luxenbourg,elderly_pop_ratio,0.07221936999999999
291,2001,Luxenbourg,elderly_pop_ratio,0.07556100999999998
292,2002,Luxenbourg,elderly_pop_ratio,0.07920836
293,2003,Luxenbourg,elderly_pop_ratio,0.08291214
294,2004,Luxenbourg,elderly_pop_ratio,0.08671991
295,2005,Luxenbourg,elderly_pop_ratio,0.09071077000000001
296,2006,Luxenbourg,elderly_pop_ratio,0.09493864
297,2007,Luxenbourg,elderly_pop_ratio,0.09933637
298,2008,Luxenbourg,elderly_pop_ratio,0.1032133
299,2009,Luxenbourg,elderly_pop_ratio,0.10686489999999998
300,2010,Luxenbourg,elderly_pop_ratio,0.1103511
301,2011,Luxenbourg,elderly_pop_ratio,0.113621
302,2012,Luxenbourg,elderly_pop_ratio,0.117783
303,2013,Luxenbourg,elderly_pop_ratio,0.1222222
304,1990,Netherlands,elderly_pop_ratio,0.13420189999999999
305,1995,Netherlands,elderly_pop_ratio,0.14006
306,2000,Netherlands,elderly_pop_ratio,0.1407289
307,2001,Netherlands,elderly_pop_ratio,0.1390714
308,2002,Netherlands,elderly_pop_ratio,0.1398476
309,2003,Netherlands,elderly_pop_ratio,0.14066670000000003
310,2004,Netherlands,elderly_pop_ratio,0.13978020000000002
311,2005,Netherlands,elderly_pop_ratio,0.1409367
312,2006,Netherlands,elderly_pop_ratio,0.140695
313,2007,Netherlands,elderly_pop_ratio,0.1402772
314,2008,Netherlands,elderly_pop_ratio,0.1399339
315,2009,Netherlands,elderly_pop_ratio,0.139615
316,2010,Netherlands,elderly_pop_ratio,0.1394145
317,2011,Netherlands,elderly_pop_ratio,0.1389215
318,2012,Netherlands,elderly_pop_ratio,0.1396456
319,2013,Netherlands,elderly_pop_ratio,0.1396648
320,1990,New Zealand,elderly_pop_ratio,0.1631691
321,1995,New Zealand,elderly_pop_ratio,0.1593732
322,2000,New Zealand,elderly_pop_ratio,0.1516366
323,2001,New Zealand,elderly_pop_ratio,0.1501994
324,2002,New Zealand,elderly_pop_ratio,0.14852359999999998
325,2003,New Zealand,elderly_pop_ratio,0.1476775
326,2004,New Zealand,elderly_pop_ratio,0.147224
327,2005,New Zealand,elderly_pop_ratio,0.1471018
328,2006,New Zealand,elderly_pop_ratio,0.1467496
329,2007,New Zealand,elderly_pop_ratio,0.1463156
330,2008,New Zealand,elderly_pop_ratio,0.1466023
331,2009,New Zealand,elderly_pop_ratio,0.14781180000000002
332,2010,New Zealand,elderly_pop_ratio,0.14972390000000002
333,2011,New Zealand,elderly_pop_ratio,0.1524329
334,2012,New Zealand,elderly_pop_ratio,0.15521020000000002
335,2013,New Zealand,elderly_pop_ratio,0.157874
336,1990,Norway,elderly_pop_ratio,0.1283906
337,1995,Norway,elderly_pop_ratio,0.13242920000000002
338,2000,Norway,elderly_pop_ratio,0.1358494
339,2001,Norway,elderly_pop_ratio,0.13626970000000002
340,2002,Norway,elderly_pop_ratio,0.13682550000000002
341,2003,Norway,elderly_pop_ratio,0.13779740000000001
342,2004,Norway,elderly_pop_ratio,0.1394143
343,2005,Norway,elderly_pop_ratio,0.1415186
344,2006,Norway,elderly_pop_ratio,0.1437288
345,2007,Norway,elderly_pop_ratio,0.1459915
346,2008,Norway,elderly_pop_ratio,0.1485699
347,2009,Norway,elderly_pop_ratio,0.1515434
348,2010,Norway,elderly_pop_ratio,0.1544734
349,2011,Norway,elderly_pop_ratio,0.1590874
350,2012,Norway,elderly_pop_ratio,0.1653454
351,2013,Norway,elderly_pop_ratio,0.1708885
352,1990,Poland,elderly_pop_ratio,0.1112102
353,1995,Poland,elderly_pop_ratio,0.11526109999999999
354,2000,Poland,elderly_pop_ratio,0.11755710000000001
355,2001,Poland,elderly_pop_ratio,0.118696
356,2002,Poland,elderly_pop_ratio,0.1183994
357,2003,Poland,elderly_pop_ratio,0.1181218
358,2004,Poland,elderly_pop_ratio,0.1185566
359,2005,Poland,elderly_pop_ratio,0.1200803
360,2006,Poland,elderly_pop_ratio,0.1222578
361,2007,Poland,elderly_pop_ratio,0.1243667
362,2008,Poland,elderly_pop_ratio,0.1255927
363,2009,Poland,elderly_pop_ratio,0.1274346
364,2010,Poland,elderly_pop_ratio,0.1295194
365,2011,Poland,elderly_pop_ratio,0.1323221
366,2012,Poland,elderly_pop_ratio,0.13679360000000002
367,2013,Poland,elderly_pop_ratio,0.14092429999999997
368,1990,Portugal,elderly_pop_ratio,0.1009966
369,1995,Portugal,elderly_pop_ratio,0.1119007
370,2000,Portugal,elderly_pop_ratio,0.12228149999999999
371,2001,Portugal,elderly_pop_ratio,0.1246242
372,2002,Portugal,elderly_pop_ratio,0.127171
373,2003,Portugal,elderly_pop_ratio,0.1286032
374,2004,Portugal,elderly_pop_ratio,0.130461
375,2005,Portugal,elderly_pop_ratio,0.132072
376,2006,Portugal,elderly_pop_ratio,0.1335099
377,2007,Portugal,elderly_pop_ratio,0.134353
378,2008,Portugal,elderly_pop_ratio,0.1346679
379,2009,Portugal,elderly_pop_ratio,0.134878
380,2010,Portugal,elderly_pop_ratio,0.1344601
381,2011,Portugal,elderly_pop_ratio,0.1363495
382,2012,Portugal,elderly_pop_ratio,0.14023979999999997
383,2013,Portugal,elderly_pop_ratio,0.1447198
384,1990,Spain,elderly_pop_ratio,0.1558484
385,1995,Spain,elderly_pop_ratio,0.1523086
386,2000,Spain,elderly_pop_ratio,0.1481704
387,2001,Spain,elderly_pop_ratio,0.1480306
388,2002,Spain,elderly_pop_ratio,0.14815440000000002
389,2003,Spain,elderly_pop_ratio,0.1486789
390,2004,Spain,elderly_pop_ratio,0.1496044
391,2005,Spain,elderly_pop_ratio,0.150895
392,2006,Spain,elderly_pop_ratio,0.1524452
393,2007,Spain,elderly_pop_ratio,0.1545185
394,2008,Spain,elderly_pop_ratio,0.15732220000000002
395,2009,Spain,elderly_pop_ratio,0.1609926
396,2010,Spain,elderly_pop_ratio,0.1655322
397,2011,Spain,elderly_pop_ratio,0.1707064
398,2012,Spain,elderly_pop_ratio,0.17596889999999998
399,2013,Spain,elderly_pop_ratio,0.18045950000000002
400,1990,Sweden,elderly_pop_ratio,0.13413570000000002
401,1995,Sweden,elderly_pop_ratio,0.14920429999999998
402,2000,Sweden,elderly_pop_ratio,0.1618579
403,2001,Sweden,elderly_pop_ratio,0.1645583
404,2002,Sweden,elderly_pop_ratio,0.1665916
405,2003,Sweden,elderly_pop_ratio,0.16843029999999998
406,2004,Sweden,elderly_pop_ratio,0.17061329999999997
407,2005,Sweden,elderly_pop_ratio,0.17271060000000002
408,2006,Sweden,elderly_pop_ratio,0.1745016
409,2007,Sweden,elderly_pop_ratio,0.1763279
410,2008,Sweden,elderly_pop_ratio,0.1784712
411,2009,Sweden,elderly_pop_ratio,0.18114149999999998
412,2010,Sweden,elderly_pop_ratio,0.1847526
413,2011,Sweden,elderly_pop_ratio,0.18868310000000002
414,2012,Sweden,elderly_pop_ratio,0.1921213
415,2013,Sweden,elderly_pop_ratio,0.1961525
416,1990,Switzerland,elderly_pop_ratio,0.1778171
417,1995,Switzerland,elderly_pop_ratio,0.174661
418,2000,Switzerland,elderly_pop_ratio,0.1726444
419,2001,Switzerland,elderly_pop_ratio,0.172154
420,2002,Switzerland,elderly_pop_ratio,0.1717575
421,2003,Switzerland,elderly_pop_ratio,0.17163250000000002
422,2004,Switzerland,elderly_pop_ratio,0.17210070000000002
423,2005,Switzerland,elderly_pop_ratio,0.1727495
424,2006,Switzerland,elderly_pop_ratio,0.17327289999999998
425,2007,Switzerland,elderly_pop_ratio,0.174345
426,2008,Switzerland,elderly_pop_ratio,0.17644359999999998
427,2009,Switzerland,elderly_pop_ratio,0.1793758
428,2010,Switzerland,elderly_pop_ratio,0.18276679999999998
429,2011,Switzerland,elderly_pop_ratio,0.1863601
430,2012,Switzerland,elderly_pop_ratio,0.1897681
431,2013,Switzerland,elderly_pop_ratio,0.1990842
432,1990,United Kingdom,elderly_pop_ratio,0.1402791
433,1995,United Kingdom,elderly_pop_ratio,0.1516561
434,2000,United Kingdom,elderly_pop_ratio,0.16078099999999998
435,2001,United Kingdom,elderly_pop_ratio,0.1618941
436,2002,United Kingdom,elderly_pop_ratio,0.1629036
437,2003,United Kingdom,elderly_pop_ratio,0.16366239999999999
438,2004,United Kingdom,elderly_pop_ratio,0.16455460000000002
439,2005,United Kingdom,elderly_pop_ratio,0.1653259
440,2006,United Kingdom,elderly_pop_ratio,0.1653568
441,2007,United Kingdom,elderly_pop_ratio,0.1654901
442,2008,United Kingdom,elderly_pop_ratio,0.1663101
443,2009,United Kingdom,elderly_pop_ratio,0.16738109999999998
444,2010,United Kingdom,elderly_pop_ratio,0.16853020000000002
445,2011,United Kingdom,elderly_pop_ratio,0.1711393
446,2012,United Kingdom,elderly_pop_ratio,0.1752355
447,2013,United Kingdom,elderly_pop_ratio,0.17949880000000001
448,1990,United States,elderly_pop_ratio,0.12517799999999998
449,1995,United States,elderly_pop_ratio,0.1268195
450,2000,United States,elderly_pop_ratio,0.1242886
451,2001,United States,elderly_pop_ratio,0.12383910000000001
452,2002,United States,elderly_pop_ratio,0.1235017
453,2003,United States,elderly_pop_ratio,0.1236213
454,2004,United States,elderly_pop_ratio,0.123643
455,2005,United States,elderly_pop_ratio,0.1240194
456,2006,United States,elderly_pop_ratio,0.124553
457,2007,United States,elderly_pop_ratio,0.1255704
458,2008,United States,elderly_pop_ratio,0.12751849999999998
459,2009,United States,elderly_pop_ratio,0.1291618
460,2010,United States,elderly_pop_ratio,0.1308542
461,2011,United States,elderly_pop_ratio,0.1327037
462,2012,United States,elderly_pop_ratio,0.13741879999999998
463,2013,United States,elderly_pop_ratio,0.14130589999999998
464,1990,Australia,ratio_over65,0.15057915057915058
465,1995,Australia,ratio_over65,0.16559246405552802
466,2000,Australia,ratio_over65,0.16180517336268574
467,2001,Australia,ratio_over65,0.16983304548071387
468,2002,Australia,ratio_over65,0.15276967930029153
